id,artifact_id,finding_type,recommendation,description,repro_command,remediation,created_at,scan_id,type,severity,attack_type_code,state,eal_low,eal_ml,eal_high,eal_daily
761,1104,EMAIL_SECURITY_GAP,Implement DKIM signing for outbound email to cryptographically verify message integrity. This is a critical component for DMARC alignment.,Could not find a valid DKIM record using a wide range of common selectors.,,,2025-07-22 11:45:47.882+00,MnaLmSoHfw5,EMAIL_SECURITY_GAP,LOW,PHISHING_BEC,active,1500,3750,7500,0
765,1127,LEGITIMATE_REDIRECT,Low Priority: Domain redirects to original - verify it's officially managed by the brand owner,"LEGITIMATE REDIRECT: firstservesea.ttle.com redirects to the original domain - likely legitimate business operation or redirect service. Low domain similarity - likely unrelated business. Domain resolves to IP address. Has MX records (email capability). Responds to HTTP requests. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | Original registrar: GoDaddy.com, LLC, Typosquat registrar: [WHOIS verification needed]",,,2025-07-22 11:47:07.984+00,MnaLmSoHfw5,LEGITIMATE_REDIRECT,INFO,,active,3,5,10,0
766,1128,BENIGN_TYPOSQUAT_GROUP,Legitimate redirects or unrelated businesses with similar names.,"**1 / 1 domains**

• firstservesea.ttle.com",,,2025-07-22 11:47:07.99+00,MnaLmSoHfw5,BENIGN_TYPOSQUAT_GROUP,INFO,,active,15,38,75,0
770,1136,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: dpl_J99QqQAA3kXBUipk8JMvKfpZecbj…,,,2025-07-22 11:47:24.603+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
771,1137,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: REACT_APP_VERCEL_OBSERVABILITY_BASEPATH…,,,2025-07-22 11:47:24.606+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
772,1138,DATABASE_EXPOSURE,"CRITICAL: Database access exposed! Rotate credentials IMMEDIATELY and restrict database access. This allows full database access including reading, modifying, and deleting all data.",Exposed Database Password in client-side code. This grants FULL DATABASE ACCESS. Sample: ==e.type)||…,,,2025-07-22 11:47:24.608+00,MnaLmSoHfw5,DATABASE_EXPOSURE,CRITICAL,,active,80000,200000,400000,0
773,1139,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: __PRIVATE_NEXTJS_INTERNALS_TREE=n…,,,2025-07-22 11:47:24.61+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
774,1140,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed JSON Web Token (JWT) in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR…,,,2025-07-22 11:47:24.612+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
775,1141,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed JSON Web Token (JWT) in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR…,,,2025-07-22 11:47:24.614+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
776,1142,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed JSON Web Token (JWT) in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR…,,,2025-07-22 11:47:24.617+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
777,1143,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed JSON Web Token (JWT) in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR…,,,2025-07-22 11:47:24.619+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
778,1144,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed JSON Web Token (JWT) in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR…,,,2025-07-22 11:47:24.62+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
779,1145,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed JSON Web Token (JWT) in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR…,,,2025-07-22 11:47:24.623+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
780,1146,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed JSON Web Token (JWT) in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR…,,,2025-07-22 11:47:24.625+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
781,1147,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed JSON Web Token (JWT) in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR…,,,2025-07-22 11:47:24.627+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
782,1148,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9…,,,2025-07-22 11:47:24.63+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
783,1149,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR6cnd2b25rbHNwcmdiIiwicm9sZSI6ImFub24i…,,,2025-07-22 11:47:24.632+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
784,1150,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9…,,,2025-07-22 11:47:24.634+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
785,1151,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR6cnd2b25rbHNwcmdiIiwicm9sZSI6ImFub24i…,,,2025-07-22 11:47:24.637+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
786,1152,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9…,,,2025-07-22 11:47:24.639+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
787,1153,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR6cnd2b25rbHNwcmdiIiwicm9sZSI6ImFub24i…,,,2025-07-22 11:47:24.641+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
788,1154,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9…,,,2025-07-22 11:47:24.644+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
789,1155,CLIENT_SIDE_SECRET_EXPOSURE,Revoke / rotate this credential immediately; it is publicly downloadable.,Exposed High-entropy token - potential secret in client asset. Sample: eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6Im1xb3FkZGR6cnd2b25rbHNwcmdiIiwicm9sZSI6ImFub24i…,,,2025-07-22 11:47:24.646+00,MnaLmSoHfw5,CLIENT_SIDE_SECRET_EXPOSURE,MEDIUM,TECHNOLOGY_STACK_ATTACK,active,7200,18000,36000,0
